graph_id,target_id,neighborhood_name,node_id,is_target,dx_m,dy_m,euclidean_distance_m,network_distance_m,population_density,ses_index,car_commute_ratio,children_per_capita,elderly_ratio,unemployment_rate,student_ratio,walking_ratio,cycling_ratio,public_transport_ratio,two_wheelers_ratio,retired_ratio,permanent_employment_ratio,temporary_employment_ratio,median_income,poverty_rate,working_age_ratio,building_density,building_count,average_building_levels,floor_area_per_capita,service_count_education_15min,service_count_entertainment_15min,service_count_grocery_15min,service_count_health_15min,service_count_posts_and_banks_15min,service_count_parks_15min,service_count_sustenance_15min,service_count_shops_15min,intersection_density,average_block_length,pedestrian_street_ratio,sidewalk_presence,target_prob_0,target_prob_1,target_prob_2,target_prob_3,target_prob_4,target_prob_5,target_prob_6,target_prob_7
g_0,0,Bédier–Oudiné (13e),10,0,-900.0,399.9999999990687,984.8857801792323,984.8857801792323,10551.067,0.2640885,0.090329476,0.13534543,0.15262356,0.17398164,0.1111375,0.03254316,0.021354884,0.7550424,0.015333929,0.16818848,0.7984033,0.12538405,20520.0,22.516666,0.712031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10349428,4.139925e-06,0.26964378,0.26964378,0.013353284,0.0984588,0.2123539,0.033047993
g_0,0,Bédier–Oudiné (13e),11,0,-800.0,-500.0000000009313,943.398113206154,943.398113206154,10551.067,0.2640885,0.090329476,0.13534543,0.15262356,0.17398164,0.1111375,0.03254316,0.021354884,0.7550424,0.015333929,0.16818848,0.7984033,0.12538405,20520.0,22.516666,0.712031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10349428,4.139925e-06,0.26964378,0.26964378,0.013353284,0.0984588,0.2123539,0.033047993
g_0,0,Bédier–Oudiné (13e),12,0,-800.0,-400.0000000009313,894.4271910003324,894.4271910003324,10551.067,0.2640885,0.090329476,0.13534543,0.15262356,0.17398164,0.1111375,0.03254316,0.021354884,0.7550424,0.015333929,0.16818848,0.7984033,0.12538405,20520.0,22.516666,0.712031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10349428,4.139925e-06,0.26964378,0.26964378,0.013353284,0.0984588,0.2123539,0.033047993
g_0,0,Bédier–Oudiné (13e),13,0,-800.0,-300.0000000009313,854.4003745320801,854.4003745320801,10551.067,0.2640885,0.090329476,0.13534543,0.15262356,0.17398164,0.1111375,0.03254316,0.021354884,0.7550424,0.015333929,0.16818848,0.7984033,0.12538405,20520.0,22.516666,0.712031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10349428,4.139925e-06,0.26964378,0.26964378,0.013353284,0.0984588,0.2123539,0.033047993
g_0,0,Bédier–Oudiné (13e),14,0,-800.0,-200.00000000093132,824.621125123758,824.621125123758,10551.067,0.2640885,0.090329476,0.13534543,0.15262356,0.17398164,0.1111375,0.03254316,0.021354884,0.7550424,0.015333929,0.16818848,0.7984033,0.12538405,20520.0,22.516666,0.712031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10349428,4.139925e-06,0.26964378,0.26964378,0.013353284,0.0984588,0.2123539,0.033047993
g_0,0,Bédier–Oudiné (13e),15,0,-800.0,-100.00000000186265,806.225774830086,806.225774830086,10551.067,0.2640885,0.090329476,0.13534543,0.15262356,0.17398164,0.1111375,0.03254316,0.021354884,0.7550424,0.015333929,0.16818848,0.7984033,0.12538405,20520.0,22.516666,0.712031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10349428,4.139925e-06,0.26964378,0.26964378,0.013353284,0.0984588,0.2123539,0.033047993
g_0,0,Bédier–Oudiné (13e),16,0,-800.0,0.0,800.0,800.0,10551.067,0.2640885,0.090329476,0.13534543,0.15262356,0.17398164,0.1111375,0.03254316,0.021354884,0.7550424,0.015333929,0.16818848,0.7984033,0.12538405,20520.0,22.516666,0.712031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10349428,4.139925e-06,0.26964378,0.26964378,0.013353284,0.0984588,0.2123539,0.033047993
g_0,0,Bédier–Oudiné (13e),17,0,-800.0,100.0,806.2257748298549,806.2257748298549,10551.067,0.2640885,0.090329476,0.13534543,0.15262356,0.17398164,0.1111375,0.03254316,0.021354884,0.7550424,0.015333929,0.16818848,0.7984033,0.12538405,20520.0,22.516666,0.712031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10349428,4.139925e-06,0.26964378,0.26964378,0.013353284,0.0984588,0.2123539,0.033047993
g_0,0,Bédier–Oudiné (13e),18,0,-800.0,199.99999999906868,824.6211251233062,824.6211251233062,10551.067,0.2640885,0.090329476,0.13534543,0.15262356,0.17398164,0.1111375,0.03254316,0.021354884,0.7550424,0.015333929,0.16818848,0.7984033,0.12538405,20520.0,22.516666,0.712031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10349428,4.139925e-06,0.26964378,0.26964378,0.013353284,0.0984588,0.2123539,0.033047993
g_0,0,Bédier–Oudiné (13e),19,0,-800.0,299.9999999990687,854.4003745314261,854.4003745314261,10551.067,0.2640885,0.090329476,0.13534543,0.15262356,0.17398164,0.1111375,0.03254316,0.021354884,0.7550424,0.015333929,0.16818848,0.7984033,0.12538405,20520.0,22.516666,0.712031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10349428,4.139925e-06,0.26964378,0.26964378,0.013353284,0.0984588,0.2123539,0.033047993
g_0,0,Bédier–Oudiné (13e),20,0,-800.0,399.9999999990687,894.4271909994994,894.4271909994994,10551.067,0.2640885,0.090329476,0.13534543,0.15262356,0.17398164,0.1111375,0.03254316,0.021354884,0.7550424,0.015333929,0.16818848,0.7984033,0.12538405,20520.0,22.516666,0.712031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10349428,4.139925e-06,0.26964378,0.26964378,0.013353284,0.0984588,0.2123539,0.033047993
g_0,0,Bédier–Oudiné (13e),21,0,-800.0,499.99999999813735,943.3981132046732,943.3981132046732,10551.067,0.2640885,0.090329476,0.13534543,0.15262356,0.17398164,0.1111375,0.03254316,0.021354884,0.7550424,0.015333929,0.16818848,0.7984033,0.12538405,20520.0,22.516666,0.712031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10349428,4.139925e-06,0.26964378,0.26964378,0.013353284,0.0984588,0.2123539,0.033047993
